,name,error,time_taken,rank,recompression_rank,run,left_rank,right_rank
811,STTA+3,0.001008562593991993,0.044603193178772926,,10.0,1.0,17.0,20.0
812,STTA+3,0.0013970590668768257,0.037687846925109625,,10.0,2.0,17.0,20.0
813,STTA+3,0.0011461495345265861,0.037560841999948025,,10.0,3.0,17.0,20.0
814,STTA+3,0.0010338046779054492,0.048799699172377586,,10.0,4.0,17.0,20.0
815,STTA+3,0.000908879409583604,0.04213747475296259,,10.0,5.0,17.0,20.0
816,STTA+3,0.0012369751070221153,0.041115954983979464,,10.0,6.0,17.0,20.0
817,STTA+3,0.0011851661069048592,0.03928098315373063,,10.0,7.0,17.0,20.0
818,STTA+3,0.0013507798353878941,0.04625364113599062,,10.0,8.0,17.0,20.0
819,STTA+3,0.0012560507568223473,0.03398766601458192,,10.0,9.0,17.0,20.0
820,STTA+3,0.0017958832263205555,0.05183810414746404,,10.0,10.0,17.0,20.0
821,STTA+3,0.0010924590274283797,0.04207512689754367,,10.0,11.0,17.0,20.0
822,STTA+3,0.0011453999393942216,0.038353991229087114,,10.0,12.0,17.0,20.0
823,STTA+3,0.0010198732078973078,0.03758653439581394,,10.0,13.0,17.0,20.0
824,STTA+3,0.000983346151220094,0.049761069007217884,,10.0,14.0,17.0,20.0
825,STTA+3,0.0008959415180553176,0.037971354089677334,,10.0,15.0,17.0,20.0
826,STTA+3,0.001027105390501304,0.047645983286201954,,10.0,16.0,17.0,20.0
827,STTA+3,0.0010487807355715976,0.03695112280547619,,10.0,17.0,17.0,20.0
828,STTA+3,0.0010712105247306673,0.04619829589501023,,10.0,18.0,17.0,20.0
829,STTA+3,0.0009992541400160094,0.033365454990416765,,10.0,19.0,17.0,20.0
830,STTA+3,0.001075913644265436,0.038476208224892616,,10.0,20.0,17.0,20.0
831,STTA+3,0.0014902130343247323,0.04196508275344968,,10.0,21.0,17.0,20.0
832,STTA+3,0.0011482627786024407,0.03809251310303807,,10.0,22.0,17.0,20.0
833,STTA+3,0.0014211696108749692,0.039912247098982334,,10.0,23.0,17.0,20.0
834,STTA+3,0.0012342039829064037,0.04890496609732509,,10.0,24.0,17.0,20.0
835,STTA+3,0.0023770228439139516,0.047558775171637535,,10.0,25.0,17.0,20.0
836,STTA+3,0.001337756003010966,0.047342292964458466,,10.0,26.0,17.0,20.0
837,STTA+3,0.0011590857708865577,0.041657280176877975,,10.0,27.0,17.0,20.0
838,STTA+3,0.0011818792836956612,0.09165517007932067,,10.0,28.0,17.0,20.0
839,STTA+3,0.0010919896379869133,0.04719300800934434,,10.0,29.0,17.0,20.0
840,STTA+3,0.0010872911632390419,0.04233112093061209,,10.0,0.0,18.0,21.0
841,STTA+3,0.0013506305399845775,0.03811343386769295,,10.0,1.0,18.0,21.0
842,STTA+3,0.0015242704676821895,0.039629092905670404,,10.0,2.0,18.0,21.0
843,STTA+3,0.0011522207623718553,0.0411138404160738,,10.0,3.0,18.0,21.0
844,STTA+3,0.0011079843250718568,0.03658080706372857,,10.0,4.0,18.0,21.0
845,STTA+3,0.0012776963095351345,0.03776598209515214,,10.0,5.0,18.0,21.0
846,STTA+3,0.0012628625645500565,0.04230931494385004,,10.0,6.0,18.0,21.0
847,STTA+3,0.0010499585654457902,0.03977411612868309,,10.0,7.0,18.0,21.0
848,STTA+3,0.0012765163555146196,0.042626306880265474,,10.0,8.0,18.0,21.0
849,STTA+3,0.0010078401226997864,0.04068341804668307,,10.0,9.0,18.0,21.0
850,STTA+3,0.0014006380594046314,0.040675663854926825,,10.0,10.0,18.0,21.0
851,STTA+3,0.0009267401974555479,0.04794192034751177,,10.0,11.0,18.0,21.0
852,STTA+3,0.001295560252363592,0.0504705267958343,,10.0,12.0,18.0,21.0
853,STTA+3,0.0009341646449633117,0.04539109207689762,,10.0,13.0,18.0,21.0
854,STTA+3,0.0013611174197934776,0.04399126302450895,,10.0,14.0,18.0,21.0
855,STTA+3,0.001311519353668595,0.039872020948678255,,10.0,15.0,18.0,21.0
856,STTA+3,0.001240397587604185,0.052431202959269285,,10.0,16.0,18.0,21.0
857,STTA+3,0.0012830946130794902,0.04108872078359127,,10.0,17.0,18.0,21.0
858,STTA+3,0.0011691879502753646,0.03849223209545016,,10.0,18.0,18.0,21.0
859,STTA+3,0.0014644579526845527,0.04586485121399164,,10.0,19.0,18.0,21.0
860,STTA+3,0.001222403997990539,0.038665697909891605,,10.0,20.0,18.0,21.0
861,STTA+3,0.0010216054684478787,0.03730545984581113,,10.0,21.0,18.0,21.0
862,STTA+3,0.001241676138653925,0.041684623807668686,,10.0,22.0,18.0,21.0
863,STTA+3,0.001015978741431239,0.03804140631109476,,10.0,23.0,18.0,21.0
864,STTA+3,0.0008851165035746942,0.049686294980347157,,10.0,24.0,18.0,21.0
865,STTA+3,0.0011153752671596185,0.03940588515251875,,10.0,25.0,18.0,21.0
866,STTA+3,0.0014577872352378408,0.03827023599296808,,10.0,26.0,18.0,21.0
867,STTA+3,0.001456325399584515,0.043991709128022194,,10.0,27.0,18.0,21.0
868,STTA+3,0.0010785870441866376,0.04438389325514436,,10.0,28.0,18.0,21.0
869,STTA+3,0.0015797535880998441,0.04596445802599192,,10.0,29.0,18.0,21.0
870,STTA+3,0.0011324493545533066,0.038627578876912594,,10.0,0.0,19.0,22.0
871,STTA+3,0.0009909087678732977,0.039847228210419416,,10.0,1.0,19.0,22.0
872,STTA+3,0.001139838138437536,0.040293990168720484,,10.0,2.0,19.0,22.0
873,STTA+3,0.001142596381212244,0.041466832626610994,,10.0,3.0,19.0,22.0
874,STTA+3,0.001219324936007985,0.04642461100593209,,10.0,4.0,19.0,22.0
875,STTA+3,0.0011419480961410021,0.0410616360604763,,10.0,5.0,19.0,22.0
876,STTA+3,0.0011366723728617738,0.04304086323827505,,10.0,6.0,19.0,22.0
877,STTA+3,0.000953548377168724,0.10451385099440813,,10.0,7.0,19.0,22.0
878,STTA+3,0.000932783665914055,0.03875483199954033,,10.0,8.0,19.0,22.0
879,STTA+3,0.0009651412815532661,0.04099994618445635,,10.0,9.0,19.0,22.0
880,STTA+3,0.0012448431101649083,0.041070055682212114,,10.0,10.0,19.0,22.0
881,STTA+3,0.0011877639828234276,0.04215044295415282,,10.0,11.0,19.0,22.0
882,STTA+3,0.0010575147522652354,0.04320939723402262,,10.0,12.0,19.0,22.0
883,STTA+3,0.001299788507600368,0.03879940835759044,,10.0,13.0,19.0,22.0
884,STTA+3,0.0009076573392523098,0.0799584980122745,,10.0,14.0,19.0,22.0
885,STTA+3,0.0011376766451333656,0.038789945654571056,,10.0,15.0,19.0,22.0
886,STTA+3,0.001124287635035354,0.04157490795478225,,10.0,16.0,19.0,22.0
887,STTA+3,0.0009205863789570219,0.052747067995369434,,10.0,17.0,19.0,22.0
888,STTA+3,0.0009870576416366596,0.03953031590208411,,10.0,18.0,19.0,22.0
889,STTA+3,0.0011319379204292048,0.03820186899974942,,10.0,19.0,19.0,22.0
890,STTA+3,0.0010182441968029686,0.04174444358795881,,10.0,20.0,19.0,22.0
891,STTA+3,0.0008983524388702659,0.048141106963157654,,10.0,21.0,19.0,22.0
892,STTA+3,0.0010094933064435962,0.04149665730074048,,10.0,22.0,19.0,22.0
893,STTA+3,0.0009176165402454494,0.04678464401513338,,10.0,23.0,19.0,22.0
894,STTA+3,0.0010921292943136033,0.04745750408619642,,10.0,24.0,19.0,22.0
895,STTA+3,0.0011036613764966849,0.040541416965425014,,10.0,25.0,19.0,22.0
896,STTA+3,0.0009783782143936678,0.04987757606431842,,10.0,26.0,19.0,22.0
897,STTA+3,0.000879270522843432,0.038358470890671015,,10.0,27.0,19.0,22.0
898,STTA+3,0.0009579202013243086,0.04087674990296364,,10.0,28.0,19.0,22.0
899,STTA+3,0.000911947414400117,0.038512676022946835,,10.0,29.0,19.0,22.0
900,STTA+3,0.0010968561864753224,0.04594371002167463,,10.0,0.0,20.0,23.0
901,STTA+3,0.0012167649395688023,0.050765690859407187,,10.0,1.0,20.0,23.0
902,STTA+3,0.0008369260558601412,0.0388278029859066,,10.0,2.0,20.0,23.0
903,STTA+3,0.0011087624057987211,0.04080137191340327,,10.0,3.0,20.0,23.0
904,STTA+3,0.0008885700523641001,0.04109825333580375,,10.0,4.0,20.0,23.0
905,STTA+3,0.0009698232561052909,0.03864445723593235,,10.0,5.0,20.0,23.0
906,STTA+3,0.0010449518814052746,0.04509691707789898,,10.0,6.0,20.0,23.0
907,STTA+3,0.0011635211077223628,0.049568585120141506,,10.0,7.0,20.0,23.0
908,STTA+3,0.0009967159272204053,0.038818745873868465,,10.0,8.0,20.0,23.0
909,STTA+3,0.0011404847241408657,0.04079079627990723,,10.0,9.0,20.0,23.0
910,STTA+3,0.0009385034851788504,0.043353745713829994,,10.0,10.0,20.0,23.0
911,STTA+3,0.0010425924205151467,0.045012025628238916,,10.0,11.0,20.0,23.0
912,STTA+3,0.0008410993162264399,0.034046252723783255,,10.0,12.0,20.0,23.0
913,STTA+3,0.0008749914527362153,0.041514202021062374,,10.0,13.0,20.0,23.0
914,STTA+3,0.00100465760923116,0.046064124908298254,,10.0,14.0,20.0,23.0
915,STTA+3,0.0010647189089895831,0.049822313245385885,,10.0,15.0,20.0,23.0
916,STTA+3,0.0010494952873171927,0.03916285000741482,,10.0,16.0,20.0,23.0
917,STTA+3,0.0009447168555498905,0.03946144226938486,,10.0,17.0,20.0,23.0
918,STTA+3,0.0011094002921405307,0.04000092716887593,,10.0,18.0,20.0,23.0
919,STTA+3,0.0009306662584449789,0.04938675696030259,,10.0,19.0,20.0,23.0
