,name,error,time_taken,left_rank,right_rank,tensor_rank,sketch_rank,run,error_func,rank
144,STTAx2,0.043754467517177105,0.5190983130596578,25.0,50.0,100.0,25.0,7.0,tt_error_func,
145,STTAx2,0.014307060027587592,0.5430572379846126,30.0,60.0,100.0,30.0,7.0,tt_error_func,
146,STTAx2,0.003949833761210596,0.8575362309347838,35.0,70.0,100.0,35.0,7.0,tt_error_func,
147,STTAx2,0.0014811365716834082,0.6580565772019327,40.0,80.0,100.0,40.0,7.0,tt_error_func,
148,STTAx2,0.00038975053843789433,0.6230591360945255,45.0,90.0,100.0,45.0,7.0,tt_error_func,
149,STTAx2,0.00017030677892387617,0.8151339450851083,50.0,100.0,100.0,50.0,7.0,tt_error_func,
150,STTAx2,4.872361395812305e-05,0.7312543571460992,55.0,110.0,100.0,55.0,7.0,tt_error_func,
151,STTAx2,1.4325053603379665e-05,0.8003393649123609,60.0,120.0,100.0,60.0,7.0,tt_error_func,
152,STTAx2,5.624220758374582e-06,0.9483335870318115,65.0,130.0,100.0,65.0,7.0,tt_error_func,
153,STTAx2,1.6406190101004375e-06,0.834776263916865,70.0,140.0,100.0,70.0,7.0,tt_error_func,
154,STTAx2,4.6572010193503746e-07,1.2836325198877603,75.0,150.0,100.0,75.0,7.0,tt_error_func,
155,STTAx2,1.66653922680058e-07,0.9362983091268688,80.0,160.0,100.0,80.0,7.0,tt_error_func,
156,STTAx2,4.6572647974500394e-08,1.0213911589235067,85.0,170.0,100.0,85.0,7.0,tt_error_func,
157,STTAx2,1.6726170216102475e-08,0.9774910509586334,90.0,180.0,100.0,90.0,7.0,tt_error_func,
158,STTAx2,5.286394006682574e-09,1.1931523729581386,95.0,190.0,100.0,95.0,7.0,tt_error_func,
159,STTAx2,3.5476429649738954e-12,1.3130433920305222,100.0,200.0,100.0,100.0,7.0,tt_error_func,
160,STTAx2,1.1841568259865407,0.36102117598056793,5.0,10.0,100.0,5.0,8.0,tt_error_func,
161,STTAx2,0.7429703429966212,0.40046453988179564,10.0,20.0,100.0,10.0,8.0,tt_error_func,
162,STTAx2,0.30444769292735446,0.4291437428910285,15.0,30.0,100.0,15.0,8.0,tt_error_func,
163,STTAx2,0.1112548588335497,0.5089313639327884,20.0,40.0,100.0,20.0,8.0,tt_error_func,
164,STTAx2,0.03876692716360753,0.557353219948709,25.0,50.0,100.0,25.0,8.0,tt_error_func,
165,STTAx2,0.012221033967022385,0.5387736549600959,30.0,60.0,100.0,30.0,8.0,tt_error_func,
166,STTAx2,0.004560656170668412,0.6550876710098237,35.0,70.0,100.0,35.0,8.0,tt_error_func,
167,STTAx2,0.0015424562215217144,0.6282617698889226,40.0,80.0,100.0,40.0,8.0,tt_error_func,
168,STTAx2,0.0004354968016018287,0.7171610589139163,45.0,90.0,100.0,45.0,8.0,tt_error_func,
169,STTAx2,0.00014995732878253802,0.7125223339535296,50.0,100.0,100.0,50.0,8.0,tt_error_func,
170,STTAx2,4.260569357549919e-05,0.6611381229013205,55.0,110.0,100.0,55.0,8.0,tt_error_func,
171,STTAx2,1.4970937557577497e-05,1.086484869942069,60.0,120.0,100.0,60.0,8.0,tt_error_func,
172,STTAx2,4.8347330951974814e-06,0.9561041409615427,65.0,130.0,100.0,65.0,8.0,tt_error_func,
173,STTAx2,1.3849909667896337e-06,1.0026006910484284,70.0,140.0,100.0,70.0,8.0,tt_error_func,
174,STTAx2,5.544549962726927e-07,0.8977670490276068,75.0,150.0,100.0,75.0,8.0,tt_error_func,
